"","Run","Covariance","Variance_V1","Variance_V2","Variance_V3","Variance_gamma","Variance_epsilon","Variance_total_marginal","Variance_total_conditional"
"Run: 18 Cov: medium",18,0.5,0.0745069023664787,0.14574766325515,0.221107982702277,0.0784565190141401,0.0726521023849147,0.441362548323906,0.519819067338046
"Run: 18 Cov: high",18,0.9,0.0591560828326609,0.110686383889762,0.160407724075632,0.0522441133825552,0.0536556998526092,0.330250190798055,0.38249430418061
"Run: 19 Cov: none",19,0,0.120280951725045,0.254143343474078,0.384098671510894,0.118924129847851,0.123976914321097,0.758522966710017,0.877447096557868
"Run: 19 Cov: low",19,0.1,0.107694395904742,0.228138247895324,0.342795190091965,0.095951161585267,0.115341391394482,0.678627833892032,0.774578995477299
"Run: 19 Cov: medium",19,0.5,0.0731587866115254,0.150750949509811,0.216819501664619,0.065780033214723,0.0724512673920127,0.440729237785955,0.506509271000678
"Run: 19 Cov: high",19,0.9,0.0560101731070717,0.114689008799125,0.159758248369756,0.0578096132934677,0.0545874080018864,0.330457430275953,0.388267043569421
"Run: 20 Cov: none",20,0,0.127848393313509,0.253661556165064,0.37724365103466,0.11795945327019,0.126587755940403,0.758753600513234,0.876713053783424
"Run: 20 Cov: low",20,0.1,0.112747600302462,0.220990455540143,0.330723113621795,0.116400122928914,0.111898714687694,0.6644611694644,0.780861292393314
"Run: 20 Cov: medium",20,0.5,0.0716069173417233,0.147432087239628,0.216560388010043,0.0777115197728579,0.0718005179595496,0.435599392591395,0.513310912364253
"Run: 20 Cov: high",20,0.9,0.0532946629518022,0.110430309365577,0.166024933107739,0.0638278425142967,0.0540060331451916,0.329749905425119,0.393577747939416
"Run: 21 Cov: none",21,0,0.125812165462918,0.257796640665996,0.375142744208657,0.130984657033929,0.124668098450776,0.758751550337572,0.889736207371501
"Run: 21 Cov: low",21,0.1,0.108015288658556,0.216870249295789,0.324785787539195,0.0998963118370236,0.107721379515062,0.64967132549354,0.749567637330564
"Run: 21 Cov: medium",21,0.5,0.0738404508552462,0.148911760430418,0.224027610771934,0.0751274268513382,0.073278229297141,0.446779822057598,0.521907248908936
"Run: 21 Cov: high",21,0.9,0.0539071887473195,0.110019955637469,0.174328847098692,0.0459927299923153,0.0544296811861687,0.33825599148348,0.384248721475795
"Run: 22 Cov: none",22,0,0.128512159885393,0.250426857535386,0.374894239626273,0.13425404744913,0.126189965821882,0.753833257047052,0.888087304496181
"Run: 22 Cov: low",22,0.1,0.11623125736921,0.217606614132239,0.343522652913755,0.0915816923888385,0.112679256962022,0.677360524415205,0.768942216804044
"Run: 22 Cov: medium",22,0.5,0.072332385601735,0.151501515217673,0.222809725901339,0.0618659776718945,0.075289291793555,0.446643626720747,0.508509604392642
"Run: 22 Cov: high",22,0.9,0.0551998186435764,0.107863449808151,0.169543842908048,0.0518128968879908,0.0563707191110757,0.332607111359776,0.384420008247767
"Run: 23 Cov: none",23,0,0.12358889280114,0.24428020176804,0.36786488977153,0.13924376159042,0.124319429227703,0.73573398434071,0.874977745931131
"Run: 23 Cov: low",23,0.1,0.112757155369264,0.223187631529716,0.324977978205702,0.106801531667269,0.1137881787948,0.660922765104682,0.767724296771951
"Run: 23 Cov: medium",23,0.5,0.0736046311582318,0.149295728287114,0.214270939668926,0.0767060974454581,0.0731497532227729,0.437171299114272,0.51387739655973
"Run: 23 Cov: high",23,0.9,0.0540340514332293,0.114618407204737,0.162016546146396,0.0533111909210282,0.054852374924784,0.330669004784362,0.383980195705391
"Run: 24 Cov: none",24,0,0.124249232646452,0.249648528623553,0.37892396724612,0.111985572225681,0.121797341326389,0.752821728516125,0.864807300741806
"Run: 24 Cov: low",24,0.1,0.118112924817317,0.22410344629344,0.327325159871327,0.110356683682539,0.114619031097512,0.669541530982084,0.779898214664624
"Run: 24 Cov: medium",24,0.5,0.0760410694468737,0.145842165318828,0.222065820378681,0.077418705278948,0.0771399067348279,0.443949055144383,0.521367760423331
"Run: 24 Cov: high",24,0.9,0.0530493262283038,0.105857595905338,0.16917351543669,0.0637522505505588,0.0555753734446778,0.328080437570331,0.39183268812089
"Run: 25 Cov: none",25,0,0.121754847107707,0.243500646711643,0.377293041233925,0.133709272708038,0.122979492277845,0.742548535053275,0.876257807761313
"Run: 25 Cov: low",25,0.1,0.109878930946683,0.221892832016373,0.326913465250171,0.106902329152152,0.111409077631929,0.658685228213227,0.765587557365379
"Run: 25 Cov: medium",25,0.5,0.071518712733216,0.142986187208024,0.220621831455974,0.07374058364781,0.0719461131919435,0.435126731397213,0.508867315045023
"Run: 25 Cov: high",25,0.9,0.0535939657702174,0.117900367401545,0.157069132698427,0.0600097138078778,0.0563261821220402,0.328563465870188,0.388573179678066
"Run: 26 Cov: none",26,0,0.126830227164003,0.243729739943328,0.375924602127935,0.11631464576199,0.125122548994265,0.746484569235265,0.862799214997256
"Run: 26 Cov: low",26,0.1,0.108141554833867,0.208976340928954,0.316810414943343,0.138801774974284,0.106965616573463,0.633928310706164,0.772730085680448
"Run: 26 Cov: medium",26,0.5,0.0723979440454643,0.152475061493881,0.217871789669306,0.0763367134468015,0.0721396755987087,0.442744795208652,0.519081508655453
"Run: 26 Cov: high",26,0.9,0.0519307777306762,0.113282525003481,0.169319535174978,0.0536566172066617,0.0541681048446404,0.334532837909135,0.388189455115797
"Run: 27 Cov: none",27,0,0.12812251251665,0.247040364948652,0.370873925846219,0.11853292425598,0.122029245952689,0.746036803311521,0.864569727567502
"Run: 27 Cov: low",27,0.1,0.104184177417576,0.223504679215375,0.326220671849055,0.12315062132357,0.110306231902464,0.653909528482006,0.777060149805576
"Run: 27 Cov: medium",27,0.5,0.0747613797577887,0.145777244134913,0.222923135957083,0.067983786215206,0.0736008856877099,0.443461759849785,0.511445546064991
"Run: 27 Cov: high",27,0.9,0.0517475926839143,0.119402176776865,0.16424032230333,0.053755659596343,0.0542831786406152,0.335390091764109,0.389145751360452
"Run: 28 Cov: none",28,0,0.124093276961362,0.244820234674622,0.384251924619025,0.117852034962965,0.123795039111978,0.75316543625501,0.871017471217974
"Run: 28 Cov: low",28,0.1,0.113836842155691,0.225955138922039,0.331433353107713,0.0931810867287041,0.111533096041622,0.671225334185443,0.764406420914147
"Run: 28 Cov: medium",28,0.5,0.0697384340110717,0.148241661453144,0.227315236635002,0.0704609463061418,0.073335124575769,0.445295332099218,0.515756278405359
"Run: 28 Cov: high",28,0.9,0.0577875358435726,0.107266339300074,0.167439969893409,0.0459650370123688,0.0557991299653821,0.332493845037056,0.378458882049425
"Run: 29 Cov: none",29,0,0.124361889295069,0.250720755723603,0.354296958990909,0.138294482705408,0.120275245427059,0.729379604009581,0.867674086714989
"Run: 29 Cov: low",29,0.1,0.113504686230986,0.218677064778845,0.326687269386508,0.106080557952241,0.108927637488085,0.658869020396339,0.76494957834858
"Run: 29 Cov: medium",29,0.5,0.071389387670335,0.147653471178597,0.225178543140379,0.0680728509924105,0.071599456158106,0.444221401989311,0.512294252981722
"Run: 29 Cov: high",29,0.9,0.0552646818968197,0.106525633674339,0.171307253128777,0.0610813309138646,0.0545529822032629,0.333097568699936,0.394178899613801
"Run: 30 Cov: none",30,0,0.125077940087698,0.248367539930726,0.370833878009983,0.124957940887887,0.122863929089961,0.744279358028407,0.869237298916294
"Run: 30 Cov: low",30,0.1,0.11254304331772,0.224413897665934,0.330781336053489,0.110186342763562,0.108521942377069,0.667738277037143,0.777924619800705
"Run: 30 Cov: medium",30,0.5,0.0735230750875488,0.148242198305945,0.221610610293829,0.0737178658982884,0.0746178553263706,0.443375883687323,0.517093749585612
"Run: 30 Cov: high",30,0.9,0.0599592661962615,0.107749701906161,0.160853899391246,0.0586013041505171,0.0583624772842494,0.328562867493669,0.387164171644186
"Run: 31 Cov: none",31,0,0.123561086514729,0.246676843851386,0.370245446131123,0.130334188055987,0.121640300510486,0.740483376497237,0.870817564553225
"Run: 31 Cov: low",31,0.1,0.111634453975739,0.216507207974872,0.339954040341803,0.102229478088322,0.106943475143845,0.668095702292414,0.770325180380736
"Run: 31 Cov: medium",31,0.5,0.0747335523030192,0.14383715367282,0.216594638723598,0.0805214197971507,0.0725535747766274,0.435165344699437,0.515686764496588
"Run: 31 Cov: high",31,0.9,0.0565379481749844,0.110094800766915,0.1657221155272,0.0514676381630444,0.0547784377075999,0.3323548644691,0.383822502632144
"Run: 32 Cov: none",32,0,0.126368593734839,0.251412116877213,0.372642851115182,0.121581499420289,0.126862243901797,0.750423561727233,0.872005061147522
"Run: 32 Cov: low",32,0.1,0.113469423403168,0.220635249517222,0.32658889966881,0.117148355483266,0.112288003414888,0.6606935725892,0.777841928072467
"Run: 32 Cov: medium",32,0.5,0.0711567007896392,0.14293580689741,0.219940643162638,0.0871550848699643,0.0726357603027342,0.434033150849687,0.521188235719651
"Run: 32 Cov: high",32,0.9,0.0565060809544192,0.1117312753437,0.161541555340509,0.0590574114259674,0.0562217262995771,0.329778911638629,0.388836323064596
