"","Run","Covariance","Variance_V1","Variance_V2","Variance_V3","Variance_epsilon","Variance_gamma","Variance_total_marginal","Variance_total_conditional"
"Run: 8 Cov: low",8,0.1,0.142895509586945,0.259728262660446,0.383506104598936,0.106583067848602,0.112093470547627,0.786129876846327,0.898223347393953
"Run: 8 Cov: medium",8,0.5,0.220909278742689,0.285282037190581,0.349892458710878,0.0750776845992775,0.0732530644313115,0.856083774644148,0.929336839075459
"Run: 8 Cov: high",8,0.9,0.288600888395687,0.303017656471064,0.311422835227117,0.0544939423496415,0.0476985091123774,0.903041380093868,0.950739889206245
"Run: 9 Cov: none",9,0,0.124782973109795,0.25060490108275,0.372834434538573,0.125157920090897,0.125791923470332,0.748222308731118,0.874014232201449
"Run: 9 Cov: low",9,0.1,0.146890523507873,0.255175321266886,0.374672095389717,0.110007474440866,0.123521086188326,0.776737940164477,0.900259026352803
"Run: 9 Cov: medium",9,0.5,0.221299895950337,0.290614461060674,0.344751569389486,0.0755758556296489,0.0657037590912583,0.856665926400496,0.922369685491755
"Run: 9 Cov: high",9,0.9,0.284826124791772,0.295902319539417,0.307706464375875,0.0558929925956842,0.0549021757086244,0.888434908707065,0.943337084415689
"Run: 10 Cov: none",10,0,0.123972011137072,0.251724048567801,0.371835948386188,0.1283773267915,0.12016111001174,0.747532008091061,0.867693118102801
"Run: 10 Cov: low",10,0.1,0.146538596481939,0.260011958510914,0.370691470566909,0.108242245477391,0.11259997931703,0.777242025559762,0.889842004876792
"Run: 10 Cov: medium",10,0.5,0.219879240596948,0.28942785168704,0.341359403832951,0.0745424698947417,0.0774971029489329,0.85066649611694,0.928163599065873
"Run: 10 Cov: high",10,0.9,0.282231101941378,0.296704820834491,0.305491131917372,0.0554762019226424,0.0597699149528327,0.88442705469324,0.944196969646073
"Run: 11 Cov: none",11,0,0.123736412025356,0.247776173401363,0.370298347393953,0.123467860547317,0.143419310588874,0.741810932820672,0.885230243409546
"Run: 11 Cov: low",11,0.1,0.14684215323355,0.268599279349595,0.371345666470084,0.108693155449247,0.103501972612859,0.786787099053229,0.890289071666088
"Run: 11 Cov: medium",11,0.5,0.223071447163343,0.284081392228909,0.347882550944856,0.0710707409717768,0.0812842673926478,0.855035390337108,0.936319657729756
"Run: 11 Cov: high",11,0.9,0.284711086403102,0.297851425944302,0.30529513423978,0.055408226502649,0.0501873050637529,0.887857646587184,0.938044951650937
"Run: 12 Cov: none",12,0,0.128629642503691,0.248130749387337,0.374022034610651,0.124331372860162,0.118902375800701,0.750782426501679,0.86968480230238
"Run: 12 Cov: low",12,0.1,0.149270406694499,0.270130585511939,0.375807387305719,0.108363298028969,0.10461990718447,0.795208379512157,0.899828286696627
"Run: 12 Cov: medium",12,0.5,0.22549282508391,0.288640331894369,0.34147550753975,0.0729370918159426,0.0648163365596504,0.855608664518029,0.920425001077679
"Run: 12 Cov: high",12,0.9,0.288224375297487,0.300358322185345,0.311801410405549,0.0562242526540912,0.0439552761421217,0.900384107888381,0.944339384030503
"Run: 13 Cov: none",13,0,0.123464812172246,0.24906128200869,0.366124954345268,0.119265190400755,0.140145703335782,0.738651048526205,0.878796751861987
"Run: 13 Cov: low",13,0.1,0.148523838802696,0.257714901914938,0.384580396310624,0.111290412160592,0.0966633327028774,0.790819137028258,0.887482469731135
"Run: 13 Cov: medium",13,0.5,0.224365329995672,0.289730244964523,0.347340232603026,0.0734659618468296,0.0608158410329625,0.861435807563221,0.922251648596183
