"","Run","Covariance","Variance_V1","Variance_V2","Variance_V3","Variance_gamma","Variance_epsilon","Variance_total_marginal","Variance_total_conditional"
"Run: 5 Cov: none",5,0,0.129106022509494,0.247082574227463,0.378742387096752,0.122031675359193,0.123037340807098,0.754930983833709,0.876962659192902
"Run: 5 Cov: low",5,0.1,0.143687223638371,0.265440391431381,0.388440969824646,0.0896143368968721,0.112817078208729,0.797568584894399,0.887182921791271
"Run: 5 Cov: medium",5,0.5,0.219635236852202,0.294360402600964,0.347143421073177,0.066804698990678,0.0720562404829796,0.861139060526342,0.92794375951702
"Run: 5 Cov: high",5,0.9,0.283302030392325,0.297657024210868,0.307134981565161,0.0561359925100642,0.0557699713215811,0.888094036168355,0.944230028678419
"Run: 6 Cov: none",6,0,0.123083034538638,0.257339623707184,0.381234812181129,0.111079153787276,0.127263375785774,0.76165747042695,0.872736624214226
"Run: 6 Cov: low",6,0.1,0.14356214732291,0.270125965079278,0.377128484299472,0.0981724533950467,0.111010949903293,0.79081659670166,0.888989050096707
"Run: 6 Cov: medium",6,0.5,0.218660416478602,0.287264202685502,0.345406495542751,0.0734415717647669,0.0752273135283779,0.851331114706855,0.924772686471622
"Run: 6 Cov: high",6,0.9,0.285852310224733,0.296708555814507,0.309172467129053,0.0532342497695239,0.0550324170621828,0.891733333168293,0.944967582937817
"Run: 7 Cov: none",7,0,0.123534473914993,0.241776867331958,0.361524474387605,0.152278247912667,0.120885936452777,0.726835815634556,0.879114063547223
"Run: 7 Cov: low",7,0.1,0.150021304105005,0.264332388621577,0.374876379597149,0.103576689053801,0.107193238622468,0.78923007232373,0.892806761377532
"Run: 7 Cov: medium",7,0.5,0.219043655598944,0.294049763172927,0.3417763516777,0.0722095064003831,0.0729207231500467,0.85486977044957,0.927079276849953
"Run: 7 Cov: high",7,0.9,0.283869997386376,0.296545166125723,0.305306961089488,0.0585163217208343,0.055761553677579,0.885722124601587,0.944238446322421
"Run: 8 Cov: none",8,0,0.132068858587749,0.244552238754814,0.37004386513339,0.129241057261673,0.124093980262374,0.746664962475953,0.875906019737626
"Run: 8 Cov: low",8,0.1,0.14244722601589,0.256794793739386,0.385413873917835,0.109278083676507,0.106066022650382,0.784655893673111,0.893933977349618
"Run: 8 Cov: medium",8,0.5,0.220137710167885,0.286435805221036,0.348065201321687,0.070624650219501,0.0747366330698899,0.854638716710609,0.92526336693011
"Run: 8 Cov: high",8,0.9,0.28852275743617,0.302482411796991,0.310251624209557,0.0445237848894978,0.054219421667784,0.901256793442718,0.945780578332216
"Run: 9 Cov: none",9,0,0.126693242778223,0.248273625566729,0.374439792236682,0.125354981976522,0.125238357441845,0.749406660581634,0.874761642558155
"Run: 9 Cov: low",9,0.1,0.146890470961183,0.252242507900446,0.372725341954052,0.119258336517984,0.108883342666335,0.771858320815681,0.891116657333665
"Run: 9 Cov: medium",9,0.5,0.222905856917444,0.288904723837397,0.346099029694496,0.0663507898565908,0.0757395996940721,0.857909610449337,0.924260400305928
"Run: 9 Cov: high",9,0.9,0.284436113287916,0.295836386218599,0.307736037365826,0.0560306759515124,0.0559607871761463,0.888008536872341,0.944039212823854
"Run: 10 Cov: none",10,0,0.127077489633931,0.250169842154478,0.370968140509178,0.122920209545716,0.128864318156697,0.748215472297587,0.871135681843303
"Run: 10 Cov: low",10,0.1,0.146939039322616,0.261399040354696,0.370112127872389,0.113118465868749,0.10843132658155,0.778450207549702,0.89156867341845
"Run: 10 Cov: medium",10,0.5,0.219750512728757,0.289215973659209,0.339969925562218,0.0767138880609367,0.0743496999888802,0.848936411950183,0.92565030001112
"Run: 10 Cov: high",10,0.9,0.281904872641227,0.296375190284944,0.30584772729022,0.060354631922362,0.0555175778612466,0.884127790216392,0.944482422138753
"Run: 11 Cov: none",11,0,0.122620872559592,0.246254595689021,0.369777748926992,0.138958472793981,0.122388310030414,0.738653217175605,0.877611689969586
"Run: 11 Cov: low",11,0.1,0.147123913791821,0.268996434157908,0.371516238964266,0.103566972531277,0.108796440554728,0.787636586913995,0.891203559445272
